date,timestamp,hr_value
2026-02-16,1771202520000,81
2026-02-16,1771202640000,77
2026-02-16,1771202760000,74
2026-02-16,1771202880000,74
2026-02-16,1771203000000,89
2026-02-16,1771203120000,83
2026-02-16,1771203240000,83
2026-02-16,1771203360000,80
2026-02-16,1771203480000,76
2026-02-16,1771203600000,74
2026-02-16,1771203720000,75
2026-02-16,1771203840000,74
2026-02-16,1771203960000,74
2026-02-16,1771204080000,74
2026-02-16,1771204200000,73
2026-02-16,1771204320000,73
2026-02-16,1771204440000,74
2026-02-16,1771204560000,74
2026-02-16,1771204680000,73
2026-02-16,1771204800000,73
2026-02-16,1771204920000,73
2026-02-16,1771205040000,72
2026-02-16,1771205160000,73
2026-02-16,1771205280000,73
2026-02-16,1771205400000,73
2026-02-16,1771205520000,72
2026-02-16,1771205640000,72
2026-02-16,1771205760000,72
2026-02-16,1771205880000,72
2026-02-16,1771206000000,75
2026-02-16,1771206120000,73
2026-02-16,1771206240000,75
2026-02-16,1771206360000,75
2026-02-16,1771206480000,76
2026-02-16,1771206600000,74
2026-02-16,1771206720000,74
2026-02-16,1771206840000,73
2026-02-16,1771206960000,72
2026-02-16,1771207080000,71
2026-02-16,1771207200000,71
2026-02-16,1771207320000,69
2026-02-16,1771207440000,68
2026-02-16,1771207560000,68
2026-02-16,1771207680000,72
2026-02-16,1771207800000,65
2026-02-16,1771207920000,67
2026-02-16,1771208040000,65
2026-02-16,1771208160000,65
2026-02-16,1771208280000,65
2026-02-16,1771208400000,63
2026-02-16,1771208520000,64
2026-02-16,1771208640000,64
2026-02-16,1771208760000,63
2026-02-16,1771208880000,64
2026-02-16,1771209000000,65
2026-02-16,1771209120000,66
2026-02-16,1771209240000,66
2026-02-16,1771209360000,65
2026-02-16,1771209480000,66
2026-02-16,1771209600000,66
2026-02-16,1771209720000,66
2026-02-16,1771209840000,66
2026-02-16,1771209960000,69
2026-02-16,1771210080000,68
2026-02-16,1771210200000,68
2026-02-16,1771210320000,67
2026-02-16,1771210440000,67
2026-02-16,1771210560000,69
2026-02-16,1771210680000,69
2026-02-16,1771210800000,71
2026-02-16,1771210920000,70
2026-02-16,1771211040000,72
2026-02-16,1771211160000,72
2026-02-16,1771211280000,69
2026-02-16,1771211400000,70
2026-02-16,1771211520000,70
2026-02-16,1771211640000,70
2026-02-16,1771211760000,69
2026-02-16,1771211880000,70
2026-02-16,1771212000000,70
2026-02-16,1771212120000,69
2026-02-16,1771212240000,68
2026-02-16,1771212360000,68
2026-02-16,1771212480000,69
2026-02-16,1771212600000,69
2026-02-16,1771212720000,69
2026-02-16,1771212840000,69
2026-02-16,1771212960000,69
2026-02-16,1771213080000,68
2026-02-16,1771213200000,68
2026-02-16,1771213320000,68
2026-02-16,1771213440000,68
2026-02-16,1771213560000,69
2026-02-16,1771213680000,70
2026-02-16,1771213800000,70
2026-02-16,1771213920000,70
2026-02-16,1771214040000,70
2026-02-16,1771214160000,70
2026-02-16,1771214280000,70
2026-02-16,1771214400000,71
2026-02-16,1771214520000,71
2026-02-16,1771214640000,71
2026-02-16,1771214760000,70
2026-02-16,1771214880000,71
2026-02-16,1771215000000,74
2026-02-16,1771215120000,67
2026-02-16,1771215240000,68
2026-02-16,1771215360000,69
2026-02-16,1771215480000,68
2026-02-16,1771215600000,66
2026-02-16,1771215720000,69
2026-02-16,1771215840000,70
2026-02-16,1771215960000,70
2026-02-16,1771216080000,69
2026-02-16,1771216200000,68
